"hotelNo","hotelName","address1","address2","postalCode","areaCode","areaName","","","","","","","","","","","","",""
"161025","全館禁煙　レンブラントスタイル東京西葛西グランデ","東京都","江戸川区西葛西6-19-18","134-0088","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"178644","アパホテル〈人形町駅東〉","東京都","中央区日本橋富沢町2-11","103-0006","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"168463","エスペリアイン日本橋箱崎","東京都","中央区日本橋中洲4-9","103-0008","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"9364","ホテル日本橋サイボー","東京都","中央区日本橋人形町3-3-16","103-0013","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"182883","ホテルリソルステイ秋葉原","東京都","千代田区神田須田町2-17-10","101-0041","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"191718","アパホテル〈秋葉原末広町駅前〉（電気街）","東京都","千代田区外神田3-15-7","101-0021","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"197683","Ｐｒｅｍｉｕｍ　ｈｏｔｅｌ　ＭＯＮｄａｙ　舞浜ビューⅠ","東京都","江戸川区南葛西6-2-22","134-0085","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"181104","アパホテル〈秋葉原駅北〉","東京都","台東区台東一丁目29番2号","110-0016","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"166354","アパホテル〈八丁堀　新富町〉","東京都","中央区新富1-17-8","104-0041","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"165557","ホテルミュッセ銀座名鉄","東京都","中央区銀座七丁目12番9号","104-0061","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"129892","ホテルシーサイド江戸川","東京都","江戸川区臨海町6-2-2","134-0086","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"164860","変なホテル東京　銀座","東京都","中央区築地2-2-1","104-0045","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"144960","アパホテル〈銀座京橋南〉（東京駅八重洲南口）２０２６年５月客室設備リニューアル","東京都","中央区京橋3-11-2","104-0031","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"189226","ホテル　イルフィオーレ葛西　ＡＮＮＥＸ","東京都","江戸川区東葛西6-1-7","134-0084","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"153370","女性だけが泊まれるカプセルホテル　秋葉原ＢＡＹ　ＨＯＴＥＬ（秋葉原ベイホテル）","東京都","千代田区神田練塀町44-4","101-0022","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"562","住庄ほてる","東京都","中央区日本橋小舟町9-14","103-0024","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"109469","アパホテル〈八丁堀駅南〉","東京都","中央区新富1-14-7","104-0041","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"165087","ホテルイルフィオーレ葛西","東京都","江戸川区東葛西6-5-8","134-0084","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"136289","スーパーホテル東京・日本橋三越前","東京都","中央区日本橋小舟町14-13","103-0024","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"136820","アパホテル〈神田駅東〉","東京都","千代田区岩本町2-1-1","101-0032","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"160785","コンフォートホテルＥＲＡ東京東神田","東京都","千代田区東神田1-9-10","101-0031","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"183213","アパホテル〈秋葉原駅東〉","東京都","千代田区神田佐久間町3-2","101-0025","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"171899","ＨＡＭＡＣＨＯ　ＨＯＴＥＬ　ＴＯＫＹＯ（浜町ホテル　東京）","東京都","中央区日本橋浜町3-20-2","103-0007","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"162836","アパホテル〈秋葉原駅電気街口〉","東京都","千代田区外神田3-11-4","101-0021","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"15759","ＫＫＲホテル東京（国家公務員共済組合連合会東京共済会館）","東京都","千代田区大手町1-4-1","100-0004","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"164568","相鉄フレッサイン　銀座三丁目","東京都","中央区銀座3-8-4","104-0061","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"187298","ブルガリ　ホテル　東京","東京都","中央区八重洲2-2-1","104-0028","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"67866","ホテル　ルミエール西葛西","東京都","江戸川区西葛西6-20-3","134-0088","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"171942","京成リッチモンドホテル東京門前仲町","東京都","江東区門前仲町2-8-9","135-0048","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
